ticker,company_name,current_index,market_cap,rank,predicted_action
SAIN.L,Scottish American Investment Company,FTSE 250,817019264.0,271.0,no change
FGT.L,Finsbury Growth & Income Trust,FTSE 250,816478208.0,272.0,no change
JUP.L,Jupiter Fund Management,FTSE 250,815573312.0,273.0,no change
GSCT.L,Global Smaller Companies Trust,FTSE 250,812043456.0,274.0,no change
BPCR.L,Biopharma Credit,FTSE 250,810024213.0371209,275.0,no change
PRN.L,Princes Group,FTSE 250,807519744.0,276.0,no change
DSCV.L,discoverIE,FTSE 250,772859584.0,277.0,no change
CSN.L,Chesnara,FTSE 250,769390528.0,278.0,no change
DOM.L,Domino's Pizza,FTSE 250,753548928.0,279.0,no change
EWG.L,Eurowag,FTSE 250,734713088.0,280.0,no change
GEN.L,Genuit Group,FTSE 250,714889024.0,281.0,no change
HTG.L,Hunting,FTSE 250,706269952.0,282.0,no change
WKP.L,Workspace Group,FTSE 250,705864576.0,283.0,no change
VCT.L,Victrex,FTSE 250,702237312.0,284.0,no change
FCH.L,Funding Circle,FTSE 250,698392256.0,285.0,no change
BGFD.L,Baillie Gifford Japan Trust,FTSE 250,695961792.0,286.0,no change
THRL.L,Target Healthcare REIT,FTSE 250,692184896.0,287.0,no change
MGAM.L,Morgan Advanced Materials,FTSE 250,688272832.0,288.0,no change
AEP.L,AEP Plantations,FTSE 250,685754880.0,289.0,no change
BUT.L,Brunner Investment Trust,FTSE 250,673684288.0,290.0,no change
BAG.L,A.G. Barr,FTSE 250,669627200.0,291.0,no change
XPS.L,XPS Pensions,FTSE 250,668985216.0,292.0,no change
TEP.L,Telecom Plus,FTSE 250,661264832.0,293.0,no change
ATR.L,Schroder Asian Total Return Investment Company,FTSE 250,653564608.0,294.0,no change
SYNC.L,Syncona,FTSE 250,652770816.0,295.0,no change
HANA.L,Hansa Investment Company,FTSE 250,647679168.0,296.0,no change
PAGE.L,PageGroup,FTSE 250,645768064.0,297.0,no change
SMWH.L,WHSmith,FTSE 250,644742336.0,298.0,no change
GCP.L,GCP Infrastructure Investments,FTSE 250,643527680.0,299.0,no change
CBG.L,Close Brothers Group,FTSE 250,640532288.0,300.0,no change
PPH.L,PPHE Hotel Group,FTSE 250,637925568.0,301.0,no change
JEGI.L,JPMorgan European Growth & Income,FTSE 250,629274944.0,302.0,no change
COST.L,Costain Group,FTSE 250,624034496.0,303.0,no change
AAS.L,Aberdeen Asia Focus,FTSE 250,617899136.0,304.0,no change
IPO.L,IP Group,FTSE 250,616632512.0,305.0,no change
GFRD.L,Galliford Try,FTSE 250,615196608.0,306.0,no change
RTW.L,RTW Biotech Opportunities,FTSE 250,613952862.3432757,307.0,no change
HFEL.L,Henderson Far East Income,FTSE 250,607700928.0,308.0,no change
NBPE.L,NB Private Equity Partners,FTSE 250,593183232.0,309.0,no change
OXB.L,Oxford Biomedica,FTSE 250,592512448.0,310.0,no change
HRI.L,Herald Investment Trust,FTSE 250,587429440.0,311.0,no change
HWG.L,Harworth Group,FTSE 250,582063360.0,312.0,no change
FEML.L,Fidelity Emerging Markets,FTSE 250,577167808.0,313.0,no change
JEDT.L,JPMorgan European Discovery,FTSE 250,570949888.0,314.0,no change
AVON.L,Avon Technologies,FTSE 250,564882624.0,315.0,no change
BRGE.L,BlackRock Greater Europe Investment Trust,FTSE 250,556971712.0,316.0,no change
HFG.L,Hilton Food Group,FTSE 250,553002752.0,317.0,no change
FGEN.L,Foresight Environmental Infrastructure,FTSE 250,552901056.0,318.0,no change
FSG.L,Foresight Group,FTSE 250,551835584.0,319.0,no change
AO.L,AO World,FTSE 250,543664192.0,320.0,no change
HSL.L,Henderson Smaller Companies Investment Trust,FTSE 250,540659968.0,321.0,no change
DATA.L,GlobalData,FTSE 250,539846080.0,322.0,no change
ATG.L,Auction Technology Group,FTSE 250,536912000.0,323.0,no change
JEMI.L,JPMorgan Emerging Markets Dividend Income,FTSE 250,534942688.0,324.0,no change
BMY.L,Bloomsbury Publishing,FTSE 250,534372992.0,325.0,no change
JSG.L,Johnson Service Group,FTSE 250,533056896.0,326.0,no change
JCH.L,JPMorgan Claverhouse Investment Trust,FTSE 250,532136320.0,327.0,no change
NAS.L,North Atlantic Smaller Companies Investment Trust,FTSE 250,529377888.0,328.0,no change
BRSC.L,BlackRock Smaller Companies Trust,FTSE 250,527182848.0,329.0,no change
PINT.L,Pantheon Infrastructure,FTSE 250,526359584.0,330.0,no change
VOF.L,VinaCapital Vietnam Opportunity Fund,FTSE 250,519529952.0,331.0,no change
THG.L,THG,FTSE 250,510967072.0,332.0,no change
HFD.L,Halfords,FTSE 250,507885280.0,333.0,no change
POLN.L,Pollen Street Group,FTSE 250,505755776.0,334.0,no change
RNK.L,Rank Group,FTSE 250,504967040.0,335.0,no change
XPP.L,XP Power,FTSE 250,490002464.0,336.0,no change
ALFA.L,Alfa Financial Software,FTSE 250,489891200.0,337.0,no change
UEM.L,Utilico Emerging Markets,FTSE 250,485296864.0,338.0,no change
BOWL.L,Hollywood Bowl Group,FTSE 250,466843520.0,339.0,no change
PCGH.L,Polar Capital Global Healthcare Trust,FTSE 250,454744992.0,340.0,no change
MEGP.L,ME Group International,FTSE 250,444858208.0,341.0,no change
SSIT.L,Seraphim Space Investment Trust,FTSE 250,438283680.0,342.0,no change
WIX.L,Wickes,FTSE 250,435840640.0,343.0,no change
AIE.L,Ashoka India Equity Investment Trust,FTSE 250,434554144.0,344.0,no change
PEY.L,Partners Group Private Equity,FTSE 250,408649134.7015483,345.0,no change
SEIT.L,SDCL Efficiency Income Trust,FTSE 250,396178144.0,346.0,no change
NCC.L,NCC Group,FTSE 250,387709120.0,347.0,no change
GBG.L,GB Group,FTSE 250,363338304.0,348.0,no change
AML.L,Aston Martin Lagonda,FTSE 250,354004128.0,349.0,no change
ROR.L,Rotork,FTSE 250,208708752.0,350.0,no change
